,order_id,customer_unique_id,customer_city,customer_state,order_approved_at,order_purchase_timestamp,order_estimated_delivery_date,order_delivered_carrier_date,order_delivered_customer_date
0,e481f51cbdc54678b7cc49136f2d6af7,7c396fd4830fd04220f754e42b4e5bff,sao paulo,SP,2017-10-02 11:07:15,2017-10-02 10:56:33,2017-10-18 00:00:00,2017-10-04 19:55:00,2017-10-10 21:25:13
1,53cdb2fc8bc7dce0b6741e2150273451,af07308b275d755c9edb36a90c618231,barreiras,BA,2018-07-26 03:24:27,2018-07-24 20:41:37,2018-08-13 00:00:00,2018-07-26 14:31:00,2018-08-07 15:27:45
2,47770eb9100c2d0c44946d9cf07ec65d,3a653a41f6f9fc3d2a113cf8398680e8,vianopolis,GO,2018-08-08 08:55:23,2018-08-08 08:38:49,2018-09-04 00:00:00,2018-08-08 13:50:00,2018-08-17 18:06:29
3,949d5b44dbf5de918fe9c16f97b45f8a,7c142cf63193a1473d2e66489a9ae977,sao goncalo do amarante,RN,2017-11-18 19:45:59,2017-11-18 19:28:06,2017-12-15 00:00:00,2017-11-22 13:39:59,2017-12-02 00:28:42
4,ad21c59c0840e6cb83a9ceb5573f8159,72632f0f9dd73dfee390c9b22eb56dd6,santo andre,SP,2018-02-13 22:20:29,2018-02-13 21:18:39,2018-02-26 00:00:00,2018-02-14 19:46:34,2018-02-16 18:17:02
5,a4591c265e18cb1dcee52889e2d8acc3,80bb27c7c16e8f973207a5086ab329e2,congonhinhas,PR,2017-07-09 22:10:13,2017-07-09 21:57:05,2017-08-01 00:00:00,2017-07-11 14:58:04,2017-07-26 10:57:55
6,136cce7faa42fdb2cefd53fdc79a6098,36edbb3fb164b1f16485364b6fb04c73,santa rosa,RS,2017-04-13 13:25:17,2017-04-11 12:22:08,2017-05-09 00:00:00,,
7,6514b8ad8028c9f2cc2374ded245783f,932afa1e708222e5821dac9cd5db4cae,nilopolis,RJ,2017-05-16 13:22:11,2017-05-16 13:10:30,2017-06-07 00:00:00,2017-05-22 10:07:46,2017-05-26 12:55:51
8,76c6e866289321a7c93b82b54852dc33,39382392765b6dc74812866ee5ee92a7,faxinalzinho,RS,2017-01-25 02:50:47,2017-01-23 18:29:09,2017-03-06 00:00:00,2017-01-26 14:16:31,2017-02-02 14:08:10
9,e69bfb5eb88e0ed6a785585b27e16dbf,299905e3934e9e181bfb2e164dd4b4f8,sorocaba,SP,2017-07-29 12:05:32,2017-07-29 11:55:02,2017-08-23 00:00:00,2017-08-10 19:45:24,2017-08-16 17:14:30
10,e6ce16cb79ec1d90b1da9085a6118aeb,f2a85dec752b8517b5e58a06ff3cd937,rio de janeiro,RJ,2017-05-16 19:50:18,2017-05-16 19:41:10,2017-06-07 00:00:00,2017-05-18 11:40:40,2017-05-29 11:18:31
11,34513ce0c4fab462a55830c0989c7edb,782987b81c92239d922aa49d6bd4200b,sao paulo,SP,2017-07-13 20:10:08,2017-07-13 19:58:11,2017-08-08 00:00:00,2017-07-14 18:43:29,2017-07-19 14:04:48
